Date,Market,Keyword,Average.Position,CPC,CTR (%),Impressions,Cost
20130214,UK-Market,affiliate per click,0,0,0.00,0,0
20130214,UK-Market,chicago personal injury lawyer,0,0,0.00,0,0
20130214,UK-Market,los angeles dui lawyer,0,0,0.00,0,0
20130214,UK-Market,att prepaid,0,0,0.00,0,0
20130214,UK-Market,angeles criminal defense lawyer los,0,0,0.00,0,0
20130214,UK-Market,critical illness insurance life,0,0,0.00,0,0
20130214,UK-Market,irs lawyer tax,0,0,0.00,0,0
20130214,UK-Market,laser hair removal new york,0,0,0.00,0,0
20130214,UK-Market,comcast high speed,0,0,0.00,0,0
20130214,UK-Market,personal yahoo,0,0,0.00,0,0
20130214,UK-Market,san diego dui attorney,0,0,0.00,0,0
20130214,UK-Market,michigan personal injury,0,0,0.00,0,0
20130214,UK-Market,automobile law lemon,0,0,0.00,0,0
20130214,UK-Market,cheap insurance life term,0,0,0.00,0,0
20130214,UK-Market,home loans refinancing,0,0,0.00,0,0
20130214,UK-Market,consolidate college loans,0,0,0.00,0,0
20130214,UK-Market,cheap life insurance,1,135.15,2.50,214,716.09
20130214,UK-Market,vioxx law suit,0,0,0.00,0,0
20130214,UK-Market,student loan refinance,0,0,0.00,0,0
20130214,UK-Market,car hire alicante spain,1,27.44,3.30,86,78.91
20130214,UK-Market,tax attorney,0,0,0.00,0,0
20130214,UK-Market,refinancing my home,0,0,0.00,0,0
20130214,UK-Market,criminal dallas lawyer,0,0,0.00,0,0
20130214,UK-Market,line of credit home equity,0,0,0.00,0,0
20130214,UK-Market,litigation vioxx,0,0,0.00,0,0
20130214,UK-Market,at and t phones,0,0,0.00,0,0
20130214,UK-Market,criminal defense attorney los angeles,0,0,0.00,0,0
20130214,UK-Market,commodity online trading,0,0,0.00,0,0
20130214,UK-Market,home equity rates,1,11.92,3.20,27,10.34
20130214,UK-Market,adsense,1,4.15,2.30,7523,713.09
20130214,UK-Market,law lemon mass,0,0,0.00,0,0
20130214,UK-Market,equity home,1,13.82,1.70,345,82.75
20130214,UK-Market,arizona law lemon,0,0,0.00,0,0
20130214,UK-Market,child molestation attorney,0,0,0.00,0,0
20130214,UK-Market,home line of credit,0,0,0.00,0,0
20130214,UK-Market,alicante car rental spain,0,0,0.00,0,0
20130214,UK-Market,attorney defense federal,0,0,0.00,0,0
20130214,UK-Market,san diego criminal attorney,0,0,0.00,0,0
20130214,UK-Market,injury lawyer new york,0,0,0.00,0,0
20130214,UK-Market,attorney injury new personal york,0,0,0.00,0,0
20130214,UK-Market,at and t mobile,0,0,0.00,0,0
20130214,UK-Market,pleural mesothelioma,0,0,0.00,0,0
20130214,UK-Market,augmentation breast diego san,0,0,0.00,0,0
20130214,UK-Market,home equity poor credit,0,0,0.00,0,0
20130214,UK-Market,health insurance temporary,0,0,0.00,0,0
20130214,UK-Market,compensation mesothelioma,0,0,0.00,0,0
20130214,UK-Market,21st century insurance,0,0,0.00,0,0
20130214,UK-Market,cheap insurance medical,0,0,0.00,0,0
20130214,UK-Market,angeles criminal lawyer los,0,0,0.00,0,0
20130214,UK-Market,low cost term life insurance,1,19.61,3.20,29,18.76
20130214,UK-Market,home refinance loans,1,3.83,4.40,306,51.18
20130214,UK-Market,eloan,0,0,0.00,0,0
20130214,UK-Market,life insurance quote,1,32.04,3.30,810,856.38
20130214,UK-Market,cheap life assurance,0,0,0.00,0,0
20130214,UK-Market,anti spam exchange,1,23.56,3.40,29,23.32
20130214,UK-Market,credit equity home line,0,0,0.00,0,0
20130214,UK-Market,att go phone,0,0,0.00,0,0
20130214,UK-Market,dui florida lawyer,0,0,0.00,0,0
20130214,UK-Market,hair removal new york,0,0,0.00,0,0
20130214,UK-Market,merchant account international,0,0,0.00,0,0
20130214,UK-Market,vioxx class action,0,0,0.00,0,0
20130214,UK-Market,life insurance quote online,0,0,0.00,0,0
20130214,UK-Market,consolidation loan,1,21.75,2.40,1661,873.58
20130214,UK-Market,equity line of credit,0,0,0.00,0,0
20130214,UK-Market,carolina law lemon north,0,0,0.00,0,0
20130214,UK-Market,equity rates,1,1.08,2.50,61,1.65
20130214,UK-Market,direct home insurance line,0,0,0.00,0,0
20130214,UK-Market,angeles attorney los tax,0,0,0.00,0,0
20130214,UK-Market,credit home line,0,0,0.00,0,0
20130214,UK-Market,term insurance,1,18.37,3.40,1639,1018.09
20130214,UK-Market,auto insurances,0,0,0.00,0,0
20130214,UK-Market,debtfreedirect,1,408.39,3.00,29,361.55
20130214,UK-Market,refinance comparison,0,0,0.00,0,0
20130214,UK-Market,acid reflux treatment,1,0.71,2.80,124,2.48
20130214,UK-Market,bad credit mortgage refinance,0,0,0.00,0,0
20130214,UK-Market,college loan refinance,0,0,0.00,0,0
